GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_001007915.1	1774958	GCF_001007915.1	1778338	
GCA_001020945.2	2754158	GCF_001020945.2	2849958	
GCA_001021005.2	2559218	GCF_001021005.2	2679808	
GCA_001021635.1	1799878	GCF_001021635.1	1804258	
GCA_001029125.1	1808968	GCF_001029125.1	1828818	
GCA_001039415.1	1834098	GCF_001039415.1	1849298	
GCA_001043215.1	1849938	GCF_001043215.1	1864038	
GCA_001051135.1	1862658	GCF_001051135.1	2029808	
GCA_001183645.1	2024728	GCF_001183645.1	2213848	
GCA_001183665.1	2024748	GCF_001183665.1	2213888	
GCA_001183685.1	2024768	GCF_001183685.1	2213628	
